Country,summer_total_medals,winter_total_medals,Overall
Afghanistan,2,0,2
Albania,0,0,0
Algeria,17,0,17
Andorra,0,0,0
Angola,0,0,0
Antigua and Barbuda,0,0,0
Argentina,77,0,77
Armenia,18,0,18
Australia,547,19,566
Austria,96,250,346
Azerbaijan,49,0,49
Bahamas,16,0,16
Bahrain,4,0,4
Bangladesh,0,0,0
Barbados,1,0,1
Belarus,85,20,105
Belgium,157,8,165
Belize,0,0,0
Benin,0,0,0
Bhutan,0,0,0
Bolivia,0,0,0
Bosnia and Herzegovina,0,0,0
Botswana,2,0,2
Brazil,150,0,150
Brunei,0,0,0
Bulgaria,224,6,230
Burkina Faso,1,0,1
Burundi,2,0,2
Cabo Verde,0,0,0
Cambodia,0,0,0
Cameroon,6,0,6
Canada,326,225,551
Central African Republic,0,0,0
Chad,0,0,0
Chile,13,0,13
China,634,77,711
Colombia,34,0,34
Comoros,0,0,0
Congo,0,0,0
Costa Rica,4,0,4
Croatia,41,11,52
Cuba,235,0,235
Cyprus,1,0,1
Czech Republic,71,34,105
Cï¿½te d'Ivoire,0,0,0
Denmark,205,1,206
Djibouti,1,0,1
Dominica ,0,0,0
Dominican Republic,12,0,12
DR Congo,0,0,0
Ecuador,5,0,5
Egypt,38,0,38
El Salvador,0,0,0
Equatorial Guinea,0,0,0
Eritrea,1,0,1
Estonia,36,8,44
Eswatini,0,0,0
Ethiopia,58,0,58
Fiji,3,0,3
Finland,305,175,480
France,751,138,889
Gabon,1,0,1
Gambia,0,0,0
Georgia,40,0,40
Germany,655,267,922
Ghana,5,0,5
United Kingdom,916,34,950
Greece,121,0,121
Grenada,3,0,3
Guatemala,1,0,1
Guinea,0,0,0
Guinea-Bissau,0,0,0
Guyana,1,0,1
Haiti,2,0,2
Holy See,0,0,0
Honduras,0,0,0
Hungary,511,10,521
Iceland,4,0,4
India,35,0,35
Indonesia,37,0,37
Iran,76,0,76
Iraq,1,0,1
Ireland,35,0,35
Israel,13,0,13
Italy,618,141,759
Jamaica,87,0,87
Japan,497,76,573
Jordan,3,0,3
Kazakhstan,71,8,79
Kenya,113,0,113
Kiribati,0,0,0
North Korea,55,2,57
South Korea,287,79,366
Kuwait,3,0,3
Kyrgyzstan,7,0,7
Laos,0,0,0
Latvia,21,10,31
Lebanon,4,0,4
Lesotho,0,0,0
Liberia,0,0,0
Libya,0,0,0
Liechtenstein,0,10,10
Lithuania,26,0,26
Luxembourg,3,2,5
Madagascar,0,0,0
Malawi,0,0,0
Malaysia,13,0,13
Maldives,0,0,0
Mali,0,0,0
Malta,0,0,0
Marshall Islands,0,0,0
Mauritania,0,0,0
Mauritius,1,0,1
Mexico,72,0,72
Micronesia,0,0,0
Moldova,6,0,6
Monaco,0,0,0
Mongolia,30,0,30
Montenegro,1,0,1
Morocco,24,0,24
Mozambique,2,0,2
Myanmar,0,0,0
Namibia,5,0,5
Nauru,0,0,0
Nepal,0,0,0
Netherlands,322,147,469
New Zealand,137,6,143
Nicaragua,0,0,0
Niger,2,0,2
Nigeria,27,0,27
North Macedonia,2,0,2
Norway,163,405,568
Oman,0,0,0
Pakistan,10,0,10
Palau,0,0,0
Panama,3,0,3
Papua New Guinea,0,0,0
Paraguay,1,0,1
Peru,4,0,4
Philippines,14,0,14
Poland,298,23,321
Portugal,28,0,28
Qatar,8,0,8
Romania,308,1,309
Russia,1514,364,1878
Rwanda,0,0,0
Saint Kitts & Nevis,0,0,0
Saint Lucia,0,0,0
San Marino,3,0,3
Sao Tome & Principe,0,0,0
Saudi Arabia,4,0,4
Samoa,1,0,1
Senegal,1,0,1
Serbia,24,0,24
Seychelles,0,0,0
Sierra Leone,0,0,0
Serbia and Montenegro,9,0,9
Singapore,5,0,5
Slovakia,32,10,42
Slovenia,28,24,52
Soloman Islands,0,0,0
Somalia,0,0,0
South Africa,89,0,89
South Sudan,0,0,0
Spain,169,5,174
Sri Lanka,2,0,2
St. Vincent & Grenadines,0,0,0
State of Palestine,0,0,0
Sudan,1,0,1
Suriname,2,0,2
Sweden,503,176,679
Switzerland,206,168,374
Syria,4,0,4
Tajikistan,4,0,4
Tanzania,2,0,2
Thailand,35,0,35
Timor-Leste,0,0,0
Togo,1,0,1
Tonga,1,0,1
Trinidad and Tobago,19,0,19
Tunisia,15,0,15
Turkey,104,0,104
Turkmenistan,1,0,1
Tuvalu,0,0,0
Uganda,11,0,11
Ukraine,139,9,148
United Arab Emirates,2,0,2
United States of America,2629,330,2959
Uruguay,10,0,10
Uzbekistan,36,1,37
Vanuatu,0,0,0
Venezuela,19,0,19
Vietnam,5,0,5
Yemen,0,0,0
Zambia,2,0,2
Zimbabwe,8,0,8