Continent,Country,Gold Medal,Silver Medal,Bronze Medal,Total,Rank By Total
North America,United States of America,39,41,33,113,1
Asia,People's Republic of China,38,32,18,88,2
Asia,Japan,27,14,17,58,5
Europe,United Kingdom,22,21,22,65,4
Europe,Russia,20,28,23,71,3
Oceania,Australia,17,7,22,46,6
Europe,Netherlands,10,12,14,36,9
Europe,France,10,12,11,33,10
Europe,Germany,10,11,16,37,8
Europe,Italy,10,10,20,40,7
North America,Canada,7,6,11,24,11
South America,Brazil,7,6,8,21,12
Oceania,New Zealand,7,6,7,20,13
North America,Cuba,7,3,5,15,18
Europe,Hungary,6,7,7,20,13
Asia,South Korea,6,4,10,20,13
Europe,Poland,4,5,5,14,19
Europe,Czech Republic,4,4,3,11,23
Africa,Kenya,4,4,2,10,25
Europe,Norway,4,2,2,8,29
North America,Jamaica,4,1,4,9,26
Europe,Spain,3,8,6,17,17
Europe,Sweden,3,6,0,9,26
Europe,Switzerland,3,4,6,13,20
Europe,Denmark,3,4,4,11,23
Europe,Croatia,3,3,2,8,29
Asia,Iran,3,2,2,7,33
Europe,Serbia,3,1,5,9,26
Europe,Belgium,3,1,3,7,33
Europe,Bulgaria,3,1,2,6,39
Europe,Slovenia,3,1,1,5,42
Asia,Uzbekistan,3,0,2,5,42
Europe,Georgia,2,5,1,8,29
Asia,Turkey,2,2,9,13,20
Europe,Greece,2,1,1,4,47
Africa,Uganda,2,1,1,4,47
South America,Ecuador,2,1,0,3,60
Europe,Ireland,2,0,2,4,47
Asia,Israel,2,0,2,4,47
Asia,Qatar,2,0,1,3,60
North America,Bahamas,2,0,0,2,66
Europe,Kosovo,2,0,0,2,66
Europe,Ukraine,1,6,12,19,16
Europe,Belarus,1,3,3,7,33
Europe,Romania,1,3,0,4,47
South America,Venezuela,1,3,0,4,47
Asia,India,1,2,4,7,33
Asia,Philippines,1,2,1,4,47
Europe,Slovakia,1,2,1,4,47
Africa,South Africa,1,2,0,3,60
Europe,Austria,1,1,5,7,33
Asia,Egypt,1,1,4,6,39
Asia,Indonesia,1,1,3,5,42
Africa,Ethiopia,1,1,2,4,47
Europe,Portugal,1,1,2,4,47
Africa,Tunisia,1,1,0,2,66
Europe,Estonia,1,0,1,2,66
Oceania,Fiji,1,0,1,2,66
Europe,Latvia,1,0,1,2,66
Asia,Thailand,1,0,1,2,66
Africa,Morocco,1,0,0,1,77
South America,Colombia,0,4,1,5,42
Europe,Azerbaijan,0,3,4,7,33
North America,Dominican Republic,0,3,2,5,42
Europe,Armenia,0,2,2,4,47
Asia,Kyrgyzstan,0,2,1,3,60
Asia,Mongolia,0,1,3,4,47
South America,Argentina,0,1,2,3,60
Europe,San Marino,0,1,2,3,60
Asia,Jordan,0,1,1,2,66
Asia,Malaysia,0,1,1,2,66
Africa,Nigeria,0,1,1,2,66
Asia,Bahrain,0,1,0,1,77
Asia,United Arab Emirates,0,1,0,1,77
Europe,Lithuania,0,1,0,1,77
Africa,Namibia,0,1,0,1,77
Asia,Kazakhstan,0,0,8,8,29
North America,Mexico,0,0,4,4,47
Europe,Finland,0,0,2,2,66
Africa,Botswana,0,0,1,1,77
Africa,Burkina Faso,0,0,1,1,77
Africa,Ghana,0,0,1,1,77
North America,Grenada,0,0,1,1,77
Asia,Kuwait,0,0,1,1,77