Country,Gold Medal,Silver Medal,Bronze Medal,Total,Rank By Total
United States of America,39,41,33,113,1
ROC,20,28,23,71,3
Great Britain,22,21,22,65,4
Australia,17,7,22,46,6
Italy,10,10,20,40,7
People's Republic of China,38,32,18,88,2
Japan,27,14,17,58,5
Germany,10,11,16,37,8
Netherlands,10,12,14,36,9
Ukraine,1,6,12,19,16
France,10,12,11,33,10
Canada,7,6,11,24,11
Republic of Korea,6,4,10,20,13
Turkey,2,2,9,13,20
Brazil,7,6,8,21,12
Kazakhstan,0,0,8,8,29
Hungary,6,7,7,20,13
New Zealand,7,6,7,20,13
Spain,3,8,6,17,17
Switzerland,3,4,6,13,20
Chinese Taipei,2,4,6,12,22
Poland,4,5,5,14,19
Cuba,7,3,5,15,18
Serbia,3,1,5,9,26
Austria,1,1,5,7,33
Denmark,3,4,4,11,23
Azerbaijan,0,3,4,7,33
India,1,2,4,7,33
Jamaica,4,1,4,9,26
Egypt,1,1,4,6,39
Mexico,0,0,4,4,47
Czech Republic,4,4,3,11,23
Belarus,1,3,3,7,33
"Hong Kong, China",1,2,3,6,39
Belgium,3,1,3,7,33
Indonesia,1,1,3,5,42
Mongolia,0,1,3,4,47
Kenya,4,4,2,10,25
Croatia,3,3,2,8,29
Dominican Republic,0,3,2,5,42
Norway,4,2,2,8,29
Islamic Republic of Iran,3,2,2,7,33
Armenia,0,2,2,4,47
Bulgaria,3,1,2,6,39
Ethiopia,1,1,2,4,47
Portugal,1,1,2,4,47
Argentina,0,1,2,3,60
San Marino,0,1,2,3,60
Uzbekistan,3,0,2,5,42
Ireland,2,0,2,4,47
Israel,2,0,2,4,47
Finland,0,0,2,2,66
Georgia,2,5,1,8,29
Colombia,0,4,1,5,42
Philippines,1,2,1,4,47
Slovakia,1,2,1,4,47
Kyrgyzstan,0,2,1,3,60
Slovenia,3,1,1,5,42
Greece,2,1,1,4,47
Uganda,2,1,1,4,47
Jordan,0,1,1,2,66
Malaysia,0,1,1,2,66
Nigeria,0,1,1,2,66
Qatar,2,0,1,3,60
Estonia,1,0,1,2,66
Fiji,1,0,1,2,66
Latvia,1,0,1,2,66
Thailand,1,0,1,2,66
Botswana,0,0,1,1,77
Burkina Faso,0,0,1,1,77
C̫te d'Ivoire,0,0,1,1,77
Ghana,0,0,1,1,77
Grenada,0,0,1,1,77
Kuwait,0,0,1,1,77
Republic of Moldova,0,0,1,1,77
Syrian Arab Republic,0,0,1,1,77
Sweden,3,6,0,9,26
Romania,1,3,0,4,47
Venezuela,1,3,0,4,47
South Africa,1,2,0,3,60
Ecuador,2,1,0,3,60
Tunisia,1,1,0,2,66
Bahrain,0,1,0,1,77
Saudi Arabia,0,1,0,1,77
Lithuania,0,1,0,1,77
North Macedonia,0,1,0,1,77
Namibia,0,1,0,1,77
Turkmenistan,0,1,0,1,77
Bahamas,2,0,0,2,66
Kosovo,2,0,0,2,66
Bermuda,1,0,0,1,77
Morocco,1,0,0,1,77
Puerto Rico,1,0,0,1,77